NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
AMAZING STAR MONTESSORI HOUSE (CCK),Child Care Services,680511,"511, CHOA CHU KANG STREET 51, #01 - 243, SINGAPORE 680511",1.3893294643672,103.740872179242,onemap-fc-childcare.png
AMAZING STAR MONTESSORI HOUSE (GREENRIDGE),Child Care Services,671524,"524A, JELAPANG ROAD, #03 - 01, GREENRIDGE SHOPPING CENTRE, SINGAPORE 671524",1.38529556520099,103.766170532015,onemap-fc-childcare.png
AMAZING STAR MONTESSORI HOUSE (SK2),Child Care Services,548674,"46, JALAN MERDU, SINGAPORE 548674",1.39345829455598,103.900515298224,onemap-fc-childcare.png
AMAZING STAR MONTESSORI HOUSE (SN),Child Care Services,550103,"103, SERANGOON NORTH AVENUE 1, #01 - 773, SINGAPORE 550103",1.37067352607975,103.870263927825,onemap-fc-childcare.png
AMAZING STAR MONTESSORI HOUSE (UBI),Child Care Services,400306,"306, UBI AVENUE 1, #02 - 187, SINGAPORE 400306",1.32987218973972,103.901929741512,onemap-fc-childcare.png
AMERICA MONTESSORI INTERNATIONAL PRESCHOOL PTE. LTD.,Child Care Services,538202,"17J, JALAN HOCK CHYE, SINGAPORE 538202",1.35983504117822,103.889895408176,onemap-fc-childcare.png
AMERICARE CHILD DEVELOPMENT CENTRE,Child Care Services,389496,"541, Geylang Road, #02 - 01, SINGAPORE 389496",1.31395127675643,103.885235570947,onemap-fc-childcare.png
AMITY JUNIORS PTE LTD,Child Care Services,659592,"1, BUKIT BATOK STREET 22, #02 - 01/02, SINGAPORE 659592",1.34461889250667,103.749789017091,onemap-fc-childcare.png
ANGEL CARE CENTRE PTE LTD,Child Care Services,760626,"626, YISHUN STREET 61, #01 - 103, SINGAPORE 760626",1.41749366875459,103.835749020283,onemap-fc-childcare.png
APOLLO INTERNATIONAL PRESCHOOL PRIVATE LIMITED,Child Care Services,467903,"44, LIMAU GARDEN, BEDOK PARK, SINGAPORE 467903",1.32238448821008,103.95000405168,onemap-fc-childcare.png
APPLE TREE PLAYHOUSE PTE LTD,Child Care Services,768019,"1, NORTHPOINT DRIVE, #02 - 201, NORTHPOINT CITY, SINGAPORE 768019",1.42803584532257,103.836092102185,onemap-fc-childcare.png
APPLELAND MONTESSORI CHILD CARE CENTRE,Child Care Services,650165,"165, BUKIT BATOK WEST AVENUE 8, #01 - 286, SINGAPORE 650165",1.34733679584283,103.741924411432,onemap-fc-childcare.png
BLOSSOM CREATIVE CENTRE LLP,Child Care Services,468182,"8, JALAN LIMAU PURUT, SINGAPORE 468182",1.32259061503566,103.946551147197,onemap-fc-childcare.png
BLOSSOM DISCOVERY CENTRE LLP,Child Care Services,556770,"275A, LORONG CHUAN, SINGAPORE 556770",1.35723851383283,103.86783725736,onemap-fc-childcare.png
BLOSSOM EDUCARE CENTRE LLP,Child Care Services,536668,"7, LORONG BATAWI, SINGAPORE 536668",1.37067048060746,103.897529184854,onemap-fc-childcare.png
BLOSSOM FANTASIA CENTRE PTE. LTD.,Child Care Services,508668,"26, MARIAM CLOSE, CHANGI GROVE, SINGAPORE 508668",1.3615959486577,103.968858919056,onemap-fc-childcare.png
BRAINY BEE JUNIOR EDUCATION PTE. LTD.,Child Care Services,367904,"10, UPPER ALJUNIED LINK, #04 - 08, SINGAPORE 367904",1.33379360269,103.882167622467,onemap-fc-childcare.png
BRAINY BUNCH INTERNATIONAL MONTESSORI (SEMBAWANG),Child Care Services,769923,"17, JALAN CHERPEN, SEMBAWANG ROAD, SINGAPORE 769923",1.4373384856088,103.827551610382,onemap-fc-childcare.png
Brainy Bunch Woodlands Pte Ltd,Child Care Services,737854,"21, WOODLANDS CLOSE, #01 - 10/11, PRIMZ BIZHUB, SINGAPORE 737854",1.43502365311575,103.804760539464,onemap-fc-childcare.png
BRIDGING STARS CHILDCARE PTE. LTD.,Child Care Services,150123,"123, BUKIT MERAH LANE 1, #01 - 78, SINGAPORE 150123",1.28685130589702,103.804019043873,onemap-fc-childcare.png
BRIGHT CHILD EDUCARE CENTRE,Child Care Services,730128,"128, MARSILING RISE, #01 - 256, SINGAPORE 730128",1.43745487725183,103.778927269961,onemap-fc-childcare.png
BRIGHT JUNIORS PTE LTD,Child Care Services,090113,"113, BUKIT PURMEI ROAD, #01 - 226, BUKIT PURMEI VILLE, SINGAPORE 090113",1.2747701239931,103.826932271213,onemap-fc-childcare.png
BRIGHT JUNIORS PTE LTD,Child Care Services,730877,"877, WOODLANDS AVENUE 9, #01 - 278, SINGAPORE 730877",1.44512874971663,103.791320319835,onemap-fc-childcare.png
BRIGHT JUNIORS PTE LTD,Child Care Services,520372,"372, TAMPINES STREET 34, #01 - 20, SINGAPORE 520372",1.35644213900154,103.958095642463,onemap-fc-childcare.png
BRIGHT JUNIORS PTE LTD,Child Care Services,520460,"460, TAMPINES STREET 42, #01 - 312, SINGAPORE 520460",1.35829909061686,103.955006314672,onemap-fc-childcare.png
BRIGHT JUNIORS PTE LTD,Child Care Services,600248,"248, JURONG EAST STREET 24, #01 - 72, SINGAPORE 600248",1.3422731421112,103.740101376818,onemap-fc-childcare.png
BRIGHT JUNIORS PTE LTD,Child Care Services,644660,"660D, JURONG WEST STREET 64, #01 - 334, SINGAPORE 644660",1.33637273876572,103.703219940518,onemap-fc-childcare.png
BRIGHT JUNIORS PTE. LTD.,Child Care Services,550255,"255, SERANGOON CENTRAL DRIVE, #01 - 50, SINGAPORE 550255",1.35506200558432,103.870871860183,onemap-fc-childcare.png
BRIGHT JUNIORS PTE. LTD.,Child Care Services,610350,"350, CORPORATION DRIVE, #01 - 550, SINGAPORE 610350",1.33867047185317,103.719135221625,onemap-fc-childcare.png
BRIGHT JUNIORS PTE. LTD.,Child Care Services,570140,"140, BISHAN STREET 12, #01 - 484, BISHAN GREEN, SINGAPORE 570140",1.34481148021351,103.85309326273,onemap-fc-childcare.png
BRIGHT JUNIORS PTE. LTD.,Child Care Services,760865,"865, YISHUN STREET 81, #01 - 21, SINGAPORE 760865",1.41432424388423,103.838117782732,onemap-fc-childcare.png
BRIGHT KIDS @ JURONG WEST PTE LTD,Child Care Services,640641,"641, JURONG WEST STREET 61, #01 - 38, SINGAPORE 640641",1.3406646506436,103.696345751144,onemap-fc-childcare.png
