NAME,DESCRIPTION,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,Lat,Lng,ICON_NAME
NTUC FAIRPRICE CO-OPERATIVE LTD,NW07277P000,355,SEMBAWANG WAY,1,750355,1.44956647612199,103.818641141782,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW08477X000,36,HOLLAND DRIVE,3,270036,1.30918211194726,103.79254748678,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NW11767E000,1,WOODLANDS ROAD,7,677899,1.38060511575374,103.760041592308,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW13K05E000,570B,WOODLANDS AVENUE 1,6,732570,1.43106395014876,103.790454085829,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW17097K000,17,PETIR ROAD,67,678278,1.37834971351323,103.762741183479,supermarketlogo.jpg
CUTECH GREEN VENTURES PTE. LTD.,NW17699N000,10,WOODLANDS INDUSTRIAL PARK E1,NA,757733,1.45334362223108,103.795682402301,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW17872B000,1,NORTHPOINT DRIVE,103,768019,1.42799995739162,103.836142036927,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW17908L000,676,WOODLANDS DRIVE 71,2,730676,1.43991607901426,103.800701205041,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW18091N000,29A,GHIM MOH LINK,1,271029,1.3084928850612,103.784598109774,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,NW18192E000,598,YISHUN RING ROAD,1,768698,1.41799925737436,103.841236466066,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NW18778K000,573,WOODLANDS DRIVE 16,1,730573,1.43109807068463,103.798507625993,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02021B000,510,BISHAN STREET 13,520,570510,1.34888843913817,103.849691986415,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02023V000,9,BISHAN PLACE,20,579837,1.35023942729665,103.848477626073,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02026N000,90,HOUGANG AVENUE 10,7,538766,1.37231186456868,103.893661619219,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02027L000,682,HOUGANG AVENUE 4,310,530682,1.37361830003654,103.88574886332,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02028K000,202,HOUGANG STREET 21,0,530202,1.35757558065219,103.884038461279,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02029J000,1,HOUGANG STREET 91,1,538692,1.3756672808109,103.879450260083,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02034N000,1,PASIR RIS CENTRAL STREET 3,10,518457,1.37244980890777,103.949715696944,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02039C000,4,TAMPINES CENTRAL 5,12,529510,1.35267232042901,103.944387982831,supermarketlogo.jpg
NTUC FAIRPRICE CO-OPERATIVE LTD,S02049A000,745,BEDOK RESERVOIR ROAD,3015,470745,1.33740471321143,103.921774737841,supermarketlogo.jpg
SONG FISH DEALER PTE LTD,SE16670X000,750,CHAI CHEE ROAD,9,469000,1.3236517309902,103.922102964585,supermarketlogo.jpg
U STARS PTE. LTD.,NW17212X000,507,YISHUN AVENUE 4,9,760507,1.41517633772651,103.83983039077,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,CE07783P000,88,TANGLIN HALT ROAD,10,141088,1.30203802909961,103.798021747973,supermarketlogo.jpg
L M MEAT PTE. LTD.,SE16607K000,750,CHAI CHEE ROAD,10,469000,1.3236517309902,103.922102964585,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NE17023N000,258,PASIR RIS STREET 21,10,510258,1.36700053512078,103.964617780128,supermarketlogo.jpg
OH BENG GUAN,SW06322N000,395A,BUKIT BATOK WEST AVENUE 5,10,651395,1.36393821477866,103.751896006132,supermarketlogo.jpg
IROHA INTERNATIONAL PTE. LTD.,CE17F56J000,133,NEW BRIDGE ROAD,11,59413,1.28499883856532,103.844697090786,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,CE05096V000,316B,ANG MO KIO STREET 31,11,563316,1.36462540011123,103.847677043508,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,CE11P32L000,1,SELETAR ROAD,11,807011,1.38739537368097,103.869135979297,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,SE11930L000,112,EAST COAST ROAD,12,428802,1.30523472024853,103.905014934935,supermarketlogo.jpg
CULINA PTE LTD,CE07411A000,8,DEMPSEY ROAD,13,247696,1.30417511894087,103.809526142547,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,S02057A000,181,LORONG 4 TOA PAYOH,602,310181,1.33362232032979,103.8509778648,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,W72014K000,86,REDHILL CLOSE,610,150086,1.28692006435587,103.818673599932,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,SE04069A000,209,NEW UPPER CHANGI ROAD,631,460209,1.32463573239521,103.931068836576,supermarketlogo.jpg
PRIME SUPERMARKET LIMITED,B02027A000,678,WOODLANDS AVENUE 6,716,730678,1.43998365427584,103.801293114431,supermarketlogo.jpg
NG TOH TET,J02016P000,442,JURONG WEST AVENUE 1,756,640442,1.35151847178612,103.719496485079,supermarketlogo.jpg
HAO MART PTE. LTD.,E85090E000,120,POTONG PASIR AVENUE 1,812,350120,1.33545352733956,103.863387984978,supermarketlogo.jpg
CHUA & NG PTE. LTD.,NE08405X000,632,BEDOK RESERVOIR ROAD,824,470632,1.33205094619271,103.914145078086,supermarketlogo.jpg
LOCH GROCER PTE. LTD.,SW09133X000,503,JURONG WEST AVENUE 1,847,640503,1.34995541023414,103.717704811504,supermarketlogo.jpg
TANESEI TRADING PTE. LTD.,SW12J94X000,1,VISTA EXCHANGE GREEN,28,138617,1.30684882667818,103.788214538525,supermarketlogo.jpg
ARCHANA SUPERMARKET PTE. LTD.,SW16856V000,1,JALAN PAPAN,29,619392,1.32048426082957,103.726722841969,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,NW09437C000,468B,ADMIRALTY DRIVE,29,752468,1.45000861248809,103.81411090726,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,C02048E000,144,UPPER BUKIT TIMAH ROAD,1,588177,1.34239284479656,103.776250537642,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,NW15295X000,896,DUNEARN ROAD,1,589472,1.33667572858824,103.783709152299,supermarketlogo.jpg
ISETAN (SINGAPORE) LIMITED?,SW13W88P000,3,GATEWAY DRIVE,1,608532,1.33402529468935,103.74258601505,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,SW05008N000,638,JURONG WEST STREET 61,1,640638,1.34159108250934,103.697020082225,supermarketlogo.jpg
