school_name,address,postal_code,sap_ind,gifted_ind,Lat,Lng
QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,No,No,1.44203596557592,103.788339762066
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,No,No,1.29552905587752,103.807648475656
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,099840,No,No,1.27489701529771,103.824115781658
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,No,Yes,1.33004178068277,103.806397828938
RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,Yes,No,1.33405659580859,103.934317528484
RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,No,No,1.29418347842837,103.836018941571
RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,No,No,1.44700426493785,103.801889031334
RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,No,No,1.39333506298213,103.904545253288
ROSYTH SCHOOL,21   Serangoon North Avenue 4,555855,No,Yes,1.3728583654058,103.87477170399
RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,No,No,1.34718953201213,103.718786145011
SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,No,No,1.4457453096024,103.821152676215
SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,No,No,1.38925044778224,103.899527879229
SENGKANG GREEN PRIMARY SCHOOL,15   Fernvale Road,797636,No,No,1.39283924999573,103.875158826938
SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,649332,No,No,1.34760285244673,103.721459527674
SI LING PRIMARY SCHOOL,61   WOODLANDS AVENUE 1,739067,No,No,1.43269985645119,103.785778778523
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,No,No,1.3206340835184,103.828164966953
SOUTH VIEW PRIMARY SCHOOL,6    Choa Chu Kang Central,689762,No,No,1.38143123987698,103.747153671
SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,No,No,1.39495818021916,103.889896508672
ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,359337,No,No,1.33140255308868,103.865117134385
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,No,No,1.3351714044028,103.940544723873
ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,No,No,1.36416126483168,103.749251925758
ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,No,No,1.34930766795555,103.862309899986
